codici_specialita,codici_ospedale,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max
spec_33,res_01090702,"2,00","7,00","3,00","2,00","2,00","1,00","2,00","15,00"
spec_33,res_01090501,"1,00","0,00","1,00","1,00","0,00","0,00","0,00","1,00"
spec_33,res_01002301,"2,00","0,00","0,00","0,00","1,00","0,00","0,00","2,00"
spec_33,res_01090701,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_33,res_01090302,"7,00","6,00","6,00","6,00","4,00","1,00","1,00","36,00"
spec_30,res_01090501,"7,00","8,00","7,00","8,00","6,00","3,00","7,00","36,00"
spec_30,res_01090702,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_30,res_01090600,"5,00","5,00","5,00","6,00","4,00","3,00","4,00","26,00"
spec_30,res_01090701,"9,00","7,00","8,00","6,00","5,00","4,00","4,00","26,00"
spec_30,res_01001100,"4,00","4,00","3,00","3,00","4,00","2,00","4,00","18,00"
spec_30,res_01062800,"1,00","1,00","5,00","7,00","1,00","2,00","0,00","11,00"
spec_30,res_01090101,"6,00","7,00","6,00","6,00","8,00","4,00","5,00","32,00"
spec_30,res_01090201,"7,00","7,00","5,00","5,00","4,00","1,00","4,00","20,00"
spec_30,res_01061600,"4,00","5,00","5,00","6,00","5,00","2,00","5,00","12,00"
spec_30,res_01090102,"0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_30,res_01061100,"3,00","6,00","6,00","6,00","1,00","0,00","0,00","14,00"
spec_99,res_01000801,"16,00","22,00","21,00","23,00","17,00","2,00","1,00","48,00"
spec_99,res_01090400,"26,00","21,00","27,00","24,00","23,00","3,00","2,00","41,00"
spec_99,res_01000802,"11,00","12,00","10,00","7,00","12,00","0,00","0,00","12,00"
spec_99,res_01061200,"11,00","15,00","13,00","12,00","22,00","0,00","0,00","22,00"
spec_99,res_01007903,"20,00","16,00","22,00","12,00","12,00","0,00","0,00","22,00"
spec_99,res_01002602,"0,00","4,00","8,00","5,00","8,00","0,00","0,00","8,00"
spec_99,res_01002606,"4,00","5,00","3,00","4,00","2,00","0,00","0,00","5,00"
spec_99,res_01002605,"18,00","14,00","17,00","20,00","12,00","2,00","1,00","20,00"
spec_99,res_01000502,"16,00","18,00","16,00","15,00","10,00","0,00","0,00","18,00"
spec_99,res_01002604,"19,00","17,00","18,00","20,00","19,00","0,00","0,00","20,00"
spec_99,res_01000501,"12,00","19,00","12,00","19,00","11,00","1,00","0,00","21,00"
spec_99,res_01090302,"15,00","14,00","18,00","13,00","11,00","1,00","0,00","19,00"
spec_99,res_01088200,"14,00","16,00","11,00","12,00","11,00","0,00","1,00","16,00"
spec_99,res_01063200,"37,00","18,00","31,00","29,00","31,00","0,00","0,00","37,00"
spec_99,res_01066100,"10,00","4,00","15,00","3,00","20,00","2,00","1,00","20,00"
spec_99,res_01000902,"12,00","12,00","11,00","13,00","20,00","0,00","0,00","20,00"
spec_99,res_01090702,"3,00","5,00","13,00","3,00","8,00","1,00","0,00","13,00"
spec_99,res_01000901,"11,00","28,00","18,00","15,00","15,00","0,00","0,00","28,00"
spec_99,res_01001100,"17,00","21,00","26,00","16,00","18,00","0,00","0,00","119,00"
spec_99,res_01001903,"8,00","8,00","4,00","9,00","8,00","0,00","0,00","9,00"
spec_99,res_01089200,"11,00","10,00","14,00","17,00","15,00","0,00","0,00","17,00"
spec_99,res_01001700,"7,00","7,00","7,00","7,00","7,00","0,00","0,00","7,00"
spec_99,res_01065300,"13,00","13,00","15,00","11,00","13,00","1,00","0,00","15,00"
spec_99,res_01001901,"11,00","10,00","12,00","10,00","11,00","0,00","0,00","12,00"
spec_99,res_01000404,"7,00","8,00","6,00","8,00","2,00","0,00","0,00","10,00"
spec_99,res_01002701,"15,00","18,00","18,00","11,00","9,00","0,00","0,00","18,00"
spec_99,res_01000402,"12,00","9,00","9,00","14,00","7,00","0,00","0,00","15,00"
spec_99,res_01000403,"12,00","7,00","5,00","8,00","7,00","0,00","0,00","13,00"
spec_99,res_01000401,"8,00","10,00","7,00","11,00","11,00","1,00","0,00","15,00"
